DateTime,Emotion
Sun Oct  7 21:24:49 2018,anger
Sun Oct  7 21:24:56 2018,anger
Sun Oct  7 21:25:05 2018,anger
Sun Oct  7 21:25:28 2018,neutral
Sun Oct  7 21:25:37 2018,neutral
Sun Oct  7 21:44:32 2018,normal
Sun Oct  7 21:44:41 2018,anger
Sun Oct  7 21:44:44 2018,neutral
Sun Oct  7 21:44:47 2018,neutral
Sun Oct  7 21:44:50 2018,neutral
Sun Oct  7 21:44:55 2018,neutral
Sun Oct  7 21:44:59 2018,neutral
Sun Oct  7 21:45:22 2018,neutral
Sun Oct  7 21:45:27 2018,sad
Sun Oct  7 21:45:30 2018,neutral
Sun Oct  7 21:45:34 2018,neutral
Sun Oct  7 21:45:37 2018,neutral
Sun Oct  7 21:46:00 2018,normal
Sun Oct  7 21:46:04 2018,neutral
Sun Oct  7 21:46:07 2018,sad
Sun Oct  7 21:46:10 2018,neutral
Sun Oct  7 21:46:15 2018,neutral
Sun Oct  7 21:46:21 2018,neutral
Sun Oct  7 21:46:24 2018,neutral
Sun Oct  7 21:46:30 2018,neutral
Sun Oct  7 21:46:33 2018,normal
Sun Oct  7 21:46:36 2018,normal
Sun Oct  7 21:46:46 2018,neutral
Sun Oct  7 21:46:49 2018,neutral
Sun Oct  7 21:46:52 2018,neutral
Sun Oct  7 21:46:55 2018,neutral
Sun Oct  7 21:46:59 2018,neutral
Sun Oct  7 21:47:02 2018,neutral
Sun Oct  7 21:47:04 2018,neutral
Sun Oct  7 21:47:07 2018,neutral
Sun Oct  7 21:47:11 2018,neutral
Sun Oct  7 21:47:29 2018,neutral
Sun Oct  7 21:47:32 2018,neutral
Sun Oct  7 21:47:38 2018,neutral
Sun Oct  7 21:47:41 2018,neutral
Sun Oct  7 21:47:48 2018,sad
Tue Oct  9 17:30:06 2018,neutral
Tue Oct  9 17:30:22 2018,anger
Tue Oct  9 17:30:24 2018,neutral
Tue Oct  9 17:30:27 2018,anger
Tue Oct  9 17:30:29 2018,neutral
Tue Oct  9 17:30:32 2018,anger
Tue Oct  9 17:30:34 2018,anger
